game_id,rating_board,rating_value,descriptors
game_000019,igrs,18,"Interaksi Daring
Rokok dan/atau rokok elektronik, minuman beralkohol, narkotika, psikotropika, dan/atau zat adiktif lainnya
Kekerasan"
game_000020,dejus,12,"Violência
Medo"
game_000020,steam_germany,16,Horror
game_000020,igrs,18,"Horor
Kekerasan
Interaksi Daring"
game_000021,esrb,m,"Intense Violence
Blood and Gore
Strong Sexual Content
Nudity
Strong Language"
game_000021,pegi,18,"Violence
Bad Language
Sex"
game_000021,dejus,16,"Violência Extrema
Linguagem imprópria
Nudez"
game_000021,csrr,R,"性,
暴力,
不當言語"
game_000021,usk,18,"Drastische Gewalt
Horror
Sexuelle Inhalte"
game_000021,steam_germany,18,"Drastische Gewalt
Sexuelle Inhalte
Derbe Sprache"
game_000021,igrs,BANNED,"Kekerasan
Penggunaan bahasa
Interaksi Daring"
game_000021,steam_australia,R18,"High Impact Sexual Themes
High Impact Violence
Mild Coarse Language"
game_000022,esrb,t,"Violence
"
game_000022,pegi,16,Strong Violence
game_000022,usk,12,
game_000022,crl,12,
game_000022,dejus,18,Violência
game_000022,steam_germany,16,Gewalt
game_000022,igrs,18,"Interaksi Daring
Kekerasan"
game_000023,esrb,m,"Blood and Gore
Intense Violence
Nudity
Sexual Content
Strong Language
Use of Drugs and Alcohol"
game_000023,pegi,18,"Strong Language
Violence
Gambling"
game_000023,usk,18,No youth
game_000023,oflc,ma15,"Online Interactivity
Strong Themes
Violence"
game_000023,nzoflc,r16,"Cruelty
Offensive Language
Violence"
game_000023,kgrb,18,"Alcohol, Tobacco, Drug
Crime, Anti-Societal or Anti-Governmental
Messages
Gambling
Language
Sexuality
Violence"
game_000023,dejus,18,"Violência
Atos criminosos
Drogas ilícitas"
game_000023,fpb,18,"Competitive Intensity
Language
Nudity
Prejudice
Sex
Violence"
game_000023,csrr,R,"Inappropriate Language
Sex
Violence"
game_000023,crl,18,
game_000024,esrb,t,"Blood
Crude Humor
Use of Alcohol
Violence"
game_000024,pegi,16,Violence
game_000024,usk,16,
game_000024,oflc,ma15,"Strong Themes
Strong Violence"
game_000024,nzoflc,r13,Violence
game_000024,csrr,C15,
game_000024,dejus,14,"Violência
Drogas lícitas"
game_000024,steam_germany,16,"Drastische Gewalt
Alkohol / Tabak"
game_000024,igrs,18,"Rokok dan/atau rokok elektronik, minuman beralkohol, narkotika, psikotropika, dan/atau zat adiktif lainnya
Kekerasan
Interaksi Daring"
game_000025,dejus,18,
game_000025,esrb,m,"Blood and Gore
Intense Violence
Strong Language
Suggestive Themes
Use of Drugs"
game_000025,csrr,R,
game_000025,kgrb,19,
game_000025,pegi,18,"Violence
Bad Language
In-Game Purchases"
game_000025,usk,18,
game_000025,fpb,18,
game_000025,oflc,ma15,
game_000025,nzoflc,r16,"Graphic Violence
Horror
Offensive Language
Content that may disturb"
game_000025,mda,M18,
game_000026,dejus,l,Violência fantasiosa
game_000026,steam_germany,12,Gewalt
game_000026,igrs,13,"Kekerasan
Interaksi Daring"
game_000027,esrb,m,"Blood
Drug Reference
Intense Violence
Strong Language
Suggestive Themes"
game_000027,pegi,18,
game_000027,bbfc,18,
game_000027,usk,18,
game_000027,oflc,r18,
game_000027,nzoflc,r18,
game_000027,dejus,18,"Violência
Medo
Atos criminosos
Linguagem imprópria
Drogas lícitas
Drogas ilícitas"
game_000027,mda,M18,
game_000027,fpb,18,
game_000027,csrr,R,
game_000027,crl,18,
game_000027,steam_germany,18,"Drogen
Drastische Gewalt
Sexuelle Andeutungen"
game_000027,igrs,18,"Interaksi Daring
Rokok dan/atau rokok elektronik, minuman beralkohol, narkotika, psikotropika, dan/atau zat adiktif lainnya
Penampilan Tokoh"
game_000028,dejus,16,"Violência Extrema
Nudez
Medo"
game_000028,steam_germany,18,"Drastische Gewalt
Alkohol / Tabak"
game_000028,igrs,BANNED,"Interaksi Daring
Rokok dan/atau rokok elektronik, minuman beralkohol, narkotika, psikotropika, dan/atau zat adiktif lainnya
Horor"
game_000028,steam_australia,R18,"High Impact Violence
Nudity
Horror Themes
Drug Themes"
game_000029,esrb,m,"Violence
Blood and Gore
Language"
game_000029,pegi,18,"Violence, Online Gameplay"
game_000029,usk,16,
game_000029,kgrb,18,Violence
game_000029,dejus,18,"Violence, Legal Drugs, Inappropriate Language"
game_000029,igrs,18,"Kekerasan
"
game_000029,steam_germany,18,Drastische Gewalt
game_000030,esrb,t,"Blood 
Language 
Violence"
game_000030,pegi,16,"Violence
In game purchases"
game_000030,usk,16,
game_000030,oflc,m,"Science Fiction Themes
Science Fiction Violence
Online Interactivity"
game_000030,nzoflc,m,"Science Fiction Themes
Science Fiction Violence
Online Interactivity"
game_000030,dejus,14,Violence
game_000030,crl,16,
game_000030,kgrb,15,Violence
game_000030,mda,AA16,
game_000030,fpb,16,
game_000030,csrr,C15,"Violence
Terror
Inappropriate Language"
game_000030,cero,d,Violence
game_000031,esrb,e,Mild Lyrics
game_000031,oflc,g,Online interactivity.
game_000031,nzoflc,g,Online interactivity.
game_000031,pegi,3,Online Interactivity.
game_000031,usk,6,
game_000031,dejus,l,
game_000031,fpb,A,
game_000032,dejus,14,"Violência
Interacao de Usarios
Compras on-line"
game_000032,steam_germany,16,Fantasy-Gewalt
game_000032,igrs,18,"Interaksi Daring
Kekerasan"
game_000033,dejus,12,"Violência
Nudez"
game_000033,steam_germany,16,"Gewalt
Alkohol / Tabak"
game_000033,igrs,15,"Rokok dan/atau rokok elektronik, minuman beralkohol, narkotika, psikotropika, dan/atau zat adiktif lainnya
Kekerasan
Interaksi Daring"
game_000034,dejus,l,Violência fantasiosa
game_000034,steam_germany,16,Drastische Gewalt
game_000034,igrs,18,"Kekerasan
Interaksi Daring"
game_000035,esrb,t,"Blood
Mild Language
Use of Alcohol
Violence"
game_000035,pegi,16,Violence
game_000035,usk,12,
game_000035,oflc,m,"Fantasy themes and violence
online interactivity"
game_000035,cero,c,暴力
game_000035,kgrb,15,"Violence
drug"
game_000035,dejus,12,"Drogas Lícitas
Violência"
game_000035,fpb,13,"Drugs
Violence and Competitive Intensity"
game_000035,csrr,C15,暴力
game_000035,crl,16,
game_000035,nzoflc,m,"Fantasy themes and violence
online interactivity"
game_000036,dejus,16,"Violência Extrema
Medo"
game_000036,steam_germany,18,"Drastische Gewalt
Alkohol / Tabak"
game_000036,igrs,18,"Rokok dan/atau rokok elektronik, minuman beralkohol, narkotika, psikotropika, dan/atau zat adiktif lainnya
Horor
Kekerasan"
game_000037,pegi,3,
game_000037,dejus,6,Violência fantasiosa
game_000037,steam_germany,12,Fantasy-Gewalt
game_000037,igrs,13,"Kekerasan
Interaksi Daring"
game_000038,esrb,m,"Blood and Gore
Intense Violence
Strong Language"
game_000038,pegi,18,"Bad Language
Violence
Online Gameplay"
game_000038,oflc,r18,"High Impact Violence
Blood and Gore
Online Interactivity"
game_000038,nzoflc,r18,"Graphic Violence
Offensive Language"
game_000038,dejus,16,Violência Extrema
game_000038,crl,18,
game_000038,steam_germany,18,"Drastische Gewalt
Derbe Sprache"
game_000038,igrs,18,"Kekerasan
Horor
Penggunaan bahasa"
game_000039,usk,12,
game_000039,dejus,12,Linguagem imprópria
game_000039,steam_germany,12,Schimpfwörte
game_000039,igrs,13,"Penggunaan bahasa
Interaksi Daring"
game_000040,esrb,m,"Intense Violence
Blood"
game_000040,pegi,18,Violence
game_000040,usk,18,
game_000040,oflc,ma15,"Strong themes and violence
Online interactivity"
game_000040,kgrb,18,"Expression of excessive violence
Excessive vulgar, profanity and swear words
Direct drug expression"
game_000040,dejus,18,"Violência Extrema
Temas sensíveis
Drogas lícitas"
game_000040,steam_germany,18,"Drastische Gewalt
Alkohol / Tabak"
game_000040,igrs,18,"Kekerasan
Rokok dan/atau rokok elektronik, minuman beralkohol, narkotika, psikotropika, dan/atau zat adiktif lainnya
Interaksi Daring"
game_000041,dejus,14,
game_000041,steam_germany,12,
game_000041,igrs,18,Interaksi Daring
game_000042,esrb,e10,"Fantasy Violence
Mild Blood"
game_000042,dejus,6,Violência fantasiosa
game_000042,steam_germany,6,Fantasy-Gewalt
game_000042,igrs,13,Kekerasan
game_000043,esrb,m,"Blood 
Violence"
game_000043,pegi,16,"Violence, Online Gameplay"
game_000043,usk,16,
game_000043,oflc,ma15,"Horror themes and violence, Gaming experience may change online"
game_000043,cero,d,
game_000043,crl,16,
game_000044,esrb,m,"Blood and Gore
Use of Drugs
Strong Language
Intense Violence"
game_000044,pegi,18,"Bad Language
Violence"
game_000044,usk,18,
game_000044,oflc,ma15,Strong Violence
game_000044,nzoflc,r18,"Graphic Violence
Offensive Language"
game_000044,cero,z,"Crime
Violence"
game_000044,dejus,18,"Extreme Violence
Illegal Drugs
Inappropriate Language"
game_000044,fpb,18,
game_000044,crl,18,
game_000044,steam_germany,16,"Drastische Gewalt
Alkohol / Tabak
Sexuelle Andeutungen"
game_000044,igrs,18,"Rokok dan/atau rokok elektronik, minuman beralkohol, narkotika, psikotropika, dan/atau zat adiktif lainnya
Penampilan Tokoh
Kekerasan"
game_000045,esrb,e10,Fantasy Violence
game_000045,pegi,7,
game_000045,dejus,18,Violência
game_000045,steam_germany,16,Gewalt
game_000045,igrs,18,"Interaksi Daring
Kekerasan"
game_000046,dejus,l,
game_000046,steam_germany,12,Gewalt
game_000046,igrs,13,"Kekerasan
Interaksi Daring"
game_000046,steam_australia,PG,Mild Violence
game_000047,dejus,14,violence
game_000047,steam_germany,16,"Gewalt
Alkohol / Tabak"
game_000047,igrs,18,"Rokok dan/atau rokok elektronik, minuman beralkohol, narkotika, psikotropika, dan/atau zat adiktif lainnya
Horor
Kekerasan"
game_000048,esrb,m,"Intense Violence
Blood and Gore
Suggestive Themes
Strong Language
Use of Alcohol"
game_000048,dejus,16,"Violência Extrema
Drogas ilícitas
Medo"
game_000048,steam_germany,18,"Drastische Gewalt
Alkohol / Tabak
Sexuelle Andeutungen"
game_000048,igrs,18,"Kekerasan
Rokok dan/atau rokok elektronik, minuman beralkohol, narkotika, psikotropika, dan/atau zat adiktif lainnya
Penampilan Tokoh"
game_000049,esrb,t,"Violence
Use of Alcohol
Crude Humor"
game_000049,pegi,12,Violence
game_000049,usk,12,
game_000049,oflc,pg,"Online Interactivity
Mild Themes"
game_000049,nzoflc,pg,"Online Interactivity
Low Level Violence"
game_000049,cero,b,Violence
game_000049,kgrb,15,"Alcohol, Tobacco, Drug
Violence"
game_000049,dejus,12,"Drogas lícitas
Violência"
game_000049,fpb,16,
game_000049,csrr,C15,"Inappropriate Language
Tobacco Alcohol
Violence"
game_000049,crl,12,
game_000050,dejus,18,Violência fantasiosa
game_000050,steam_germany,16,Fantasy-Gewalt
game_000050,igrs,13,"Kekerasan
Interaksi Daring"
game_000051,esrb,t,"Fantasy Violence
Animated Blood"
game_000051,usk,6,
game_000051,dejus,6,
game_000051,steam_germany,12,
game_000051,igrs,3,Interaksi Daring
game_000052,esrb,e10,"Drug Reference
Language
Mild Violence
Suggestive Themes"
game_000052,pegi,12,Violence
game_000052,usk,12,
game_000052,oflc,pg,
game_000052,nzoflc,pg,
game_000052,kgrb,12,
game_000052,dejus,10,Violence
game_000052,fpb,13,Violence
game_000052,csrr,C12,
game_000052,crl,12,
game_000052,steam_germany,12,"Drogen
Gewalt
Derbe Sprache"
game_000052,igrs,18,"Rokok dan/atau rokok elektronik, minuman beralkohol, narkotika, psikotropika, dan/atau zat adiktif lainnya
Penggunaan bahasa
Kekerasan"
game_000053,esrb,t,"Violence
Blood
Suggestive Themes"
game_000053,pegi,12,Violence
game_000053,usk,12,
game_000053,oflc,m,"Violence, Online Interactivity"
game_000053,nzoflc,m,"Violence, Online Interactivity"
game_000053,dejus,12,Violência
game_000053,steam_germany,12,"Sexuelle Andeutungen
Fantasy-Gewalt"
game_000053,igrs,18,"Penampilan Tokoh
Kekerasan
Interaksi Daring"
game_000054,dejus,10,Violência
game_000054,steam_germany,12,Fantasy-Gewalt
game_000054,igrs,13,"Kekerasan
Interaksi Daring"
game_000054,steam_australia,G,Very Mild Fantasy Violence
game_000055,dejus,14,"Violência
Medo"
game_000055,steam_germany,18,"Drastische Gewalt
Drogen
Derbe Sprache"
game_000055,igrs,18,"Rokok dan/atau rokok elektronik, minuman beralkohol, narkotika, psikotropika, dan/atau zat adiktif lainnya
Horor
Kekerasan"
game_000056,dejus,14,"Violência fantasiosa
Violência
Linguagem imprópria
Drogas lícitas"
game_000056,steam_germany,16,"Drastische Gewalt
Alkohol / Tabak
Schimpfwörte"
game_000056,igrs,18,"Rokok dan/atau rokok elektronik, minuman beralkohol, narkotika, psikotropika, dan/atau zat adiktif lainnya
Kekerasan
Horor"
game_000057,pegi,7,Violence
game_000057,usk,12,
game_000057,dejus,10,Violência
game_000057,steam_germany,12,Gewalt
game_000057,igrs,13,"Kekerasan
Interaksi Daring"
game_000058,esrb,m,"Blood and Gore, Intense Violence, Sexual Themes, Use of Alcohol, Language"
game_000058,pegi,18,Violence
game_000058,usk,16,
game_000058,oflc,ma15,Strong horror themes and violence
game_000058,nzoflc,r13,Violence
game_000058,dejus,18,Violência
game_000058,fpb,18,
game_000058,csrr,R,
game_000058,crl,18,
game_000058,steam_germany,16,"Drastische Gewalt
Drogen
Sexuelle Andeutungen"
game_000058,igrs,BANNED,"Rokok dan/atau rokok elektronik, minuman beralkohol, narkotika, psikotropika, dan/atau zat adiktif lainnya
Penampilan Tokoh
Kekerasan"
game_000059,dejus,12,Violência
game_000059,pegi,12,"VIOLENCE
IN-GAME PURCHASES"
game_000059,kgrb,15,"＊ 사실적인 폭력 표현
- 창, 칼, 활 등 사실적으로 표현된 무기류를 사용하여 대전함"
game_000059,esrb,t,
game_000059,steam_germany,12,Fantasy-Gewalt
