game_id,genre_id
game_000487,23
game_000487,28
game_000487,70
game_000488,1
game_000488,3
game_000489,25
game_000489,23
game_000490,1
game_000490,25
game_000490,28
game_000491,1
game_000492,1
game_000492,29
game_000493,1
game_000493,25
game_000493,3
game_000494,1
game_000494,25
game_000494,23
game_000494,29
game_000494,3
game_000494,37
game_000495,25
game_000495,23
game_000495,28
game_000496,2
game_000497,1
game_000497,25
game_000497,23
game_000498,25
game_000498,23
game_000499,1
game_000499,25
game_000500,1
game_000500,3
game_000501,1
game_000501,37
game_000501,29
game_000502,25
game_000502,23
game_000502,3
game_000502,28
game_000502,2
game_000503,1
game_000503,25
game_000503,23
game_000504,1
game_000504,25
game_000504,23
game_000504,3
game_000504,28
game_000505,25
game_000505,23
game_000506,1
game_000506,25
game_000507,25
game_000507,23
game_000507,70
game_000508,25
game_000508,23
game_000509,9
game_000509,28
game_000509,18
game_000510,1
game_000511,1
game_000511,28
game_000511,2
game_000512,1
game_000512,25
game_000512,23
game_000512,3
game_000513,1
game_000513,3
game_000514,1
game_000514,23
game_000514,29
game_000514,3
game_000514,2
game_000515,23
game_000515,28
game_000515,70
game_000516,25
game_000516,3
game_000517,23
game_000517,28
game_000518,25
game_000518,28
game_000519,1
game_000519,25
game_000520,1
game_000521,25
game_000521,23
game_000521,3
game_000521,28
game_000522,2
game_000522,37
game_000523,1
game_000523,25
game_000523,23
game_000523,29
game_000523,3
game_000524,28
game_000524,18
game_000525,1
game_000526,25
game_000526,4
game_000526,23
game_000526,3
game_000526,28
game_000527,1
game_000527,25
game_000528,25
game_000529,1
game_000529,25
game_000529,37
game_000529,28
game_000529,18
game_000530,25
game_000530,3
game_000530,2
game_000531,1
game_000531,25
game_000531,29
game_000531,3
game_000531,70
game_000532,1
game_000532,3
game_000533,1
game_000533,25
game_000533,4
game_000533,23
game_000533,29
game_000533,37
game_000534,1
game_000534,25
game_000534,23
game_000535,28
game_000535,2
game_000536,23
game_000536,28
game_000536,2
game_000537,1
game_000537,25
game_000537,3
game_000538,1
game_000539,4
game_000539,28
game_000539,37
game_000540,1
game_000540,25
game_000540,4
game_000540,23
game_000540,2
game_000541,23
game_000542,25
