game_id,dlc_steam_appid
game_000027,275590
game_000027,267381
game_000027,267380
game_000027,264610
game_000027,254260
game_000027,826090
game_000029,4735410
game_000029,4735390
game_000029,4735380
game_000029,4735400
game_000029,4760280
game_000029,4760250
game_000029,4760260
game_000029,4760270
game_000029,4447640
game_000029,4447650
game_000029,4316160
game_000029,4157990
game_000029,4157970
game_000029,4157980
game_000029,2803600
game_000029,4037750
game_000029,4037760
game_000029,3778430
game_000029,2648430
game_000029,2633910
game_000030,3186540
game_000030,3186490
game_000030,2336880
game_000030,1945340
game_000030,1656330
game_000030,1656370
game_000030,1314563
game_000030,1090200
game_000030,1090150
game_000030,1745440
game_000030,1569630
game_000030,4562000
game_000032,306460
game_000033,1620250
game_000034,4211520
game_000034,1084430
game_000034,1167330
game_000034,1051700
game_000034,1710241
game_000034,840750
game_000034,1522880
game_000034,840760
game_000034,1558300
game_000034,3373370
game_000034,2711510
game_000034,2241030
game_000034,1710240
game_000034,1272440
game_000034,1172860
game_000034,1447360
game_000034,1167510
game_000034,840770
game_000034,962960
game_000034,1230830
game_000034,2236180
game_000034,1485060
game_000034,987340
game_000034,3373360
game_000034,2769680
game_000034,1205500
game_000034,1836630
game_000034,1205501
game_000034,2170670
game_000034,1874370
game_000034,1289760
game_000034,2170671
game_000034,1899050
game_000034,981701
game_000034,981702
game_000034,798740
game_000034,974740
game_000034,981700
game_000034,2132800
game_000034,2007370
game_000034,2377640
game_000034,798750
game_000034,1698560
game_000034,1612410
game_000034,1694780
game_000034,2058280
game_000034,2058281
game_000034,3155070
game_000034,1338540
game_000035,1118010
game_000035,912540
game_000035,960781
game_000035,896580
game_000035,763695
game_000035,763696
game_000035,763699
game_000035,891730
game_000035,770970
game_000035,770974
game_000035,763697
game_000035,763698
game_000035,770977
game_000035,762919
game_000035,861870
game_000035,861871
game_000035,861872
game_000035,762174
game_000035,762918
game_000035,770975
game_000035,974302
game_000035,996740
game_000035,770976
game_000035,770972
game_000035,770973
game_000035,1118012
game_000035,1118017
game_000035,1118018
game_000035,1118019
game_000035,1118013
game_000035,1118014
game_000035,1118015
game_000035,1118022
game_000035,1118023
game_000035,1118024
game_000035,1118025
game_000035,1118026
game_000035,1118029
game_000035,1211170
game_000035,1211171
game_000035,1211173
game_000035,1211174
game_000035,1211175
game_000035,1211176
game_000035,1211177
game_000035,1211178
game_000035,1211179
game_000035,1211200
game_000035,1211201
game_000035,1211202
game_000035,1211203
game_000035,1211204
game_000035,1211205
game_000035,1211206
game_000035,1211207
game_000035,1241272
game_000035,1241268
game_000035,1241269
game_000035,1241270
game_000035,1241271
game_000035,1211208
game_000035,1211209
game_000035,1241260
game_000035,1241261
game_000035,1241262
game_000035,1241263
game_000035,1241264
game_000035,1241265
game_000035,1241266
game_000035,1241267
game_000035,1241287
game_000035,1241288
game_000035,1241289
game_000035,1241290
game_000035,1241291
game_000035,1241292
game_000035,1241293
game_000035,1241294
game_000035,1241295
game_000035,1241296
game_000035,1241297
game_000035,1241298
game_000035,1241299
game_000035,1241300
game_000035,1241273
game_000035,1241274
game_000035,1241275
game_000035,1241276
game_000035,1241277
game_000035,1241278
game_000035,1241279
game_000035,1241280
game_000035,1241281
game_000035,1241282
game_000035,1241283
game_000035,1241284
game_000035,1241285
game_000035,1241286
game_000035,1242741
game_000035,1242742
game_000035,1242743
game_000035,1242744
game_000035,1242745
game_000035,1242746
game_000035,1242747
game_000035,1242748
game_000035,1242749
game_000035,1242750
game_000035,1242751
game_000035,1242752
game_000035,1242753
game_000035,1242754
game_000035,1242755
game_000035,1242756
game_000035,1242757
game_000035,1242758
game_000035,1242759
game_000035,1242760
game_000035,1242761
game_000035,1242762
game_000035,1242763
game_000035,1242764
game_000035,1242765
game_000035,1242766
game_000035,1242767
game_000035,1242768
game_000035,1242769
game_000035,1242770
game_000035,1242771
game_000035,1242772
game_000035,1242773
game_000035,1242774
game_000035,1242775
game_000035,1242776
game_000035,1242740
game_000035,1242777
game_000035,1242778
game_000035,1242779
game_000035,1265470
game_000035,1265471
game_000035,1265472
game_000035,1265473
game_000035,1265474
game_000035,1265475
game_000035,1265476
game_000035,1287081
game_000035,1287082
game_000035,1287051
game_000035,1287052
game_000035,1287053
game_000035,1287054
game_000035,1287055
game_000035,1287056
game_000035,1287057
game_000035,1287058
game_000035,1287059
game_000035,1287060
game_000035,1287062
game_000035,1287063
game_000035,1287064
game_000035,1287065
game_000035,1287066
game_000035,1287067
game_000035,1287068
game_000035,1287069
game_000035,1287070
game_000035,1287071
game_000035,1287072
game_000035,1287073
game_000035,1287074
game_000035,1287075
game_000035,1287076
game_000035,1287050
game_000035,1371421
game_000035,1371422
game_000035,1371423
game_000035,1371424
game_000035,1371425
game_000035,1371426
game_000035,1371427
game_000035,1371428
game_000035,1371429
